pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Vanderploeg,WE6,2.7,TDP,A,Vanderploeg_WE6_2.7_TDP_A,54.44,ug.L,0.6,
Vanderploeg,WE6,2.7,TDP,B,Vanderploeg_WE6_2.7_TDP_B,54.54,ug.L,0.6,
Vanderploeg,WE6,2.7,TDP,C,Vanderploeg_WE6_2.7_TDP_C,53.42,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,1,TDP,A,Doubek_Whitefish_Bay_WB-LS_1_TDP_A,21.01,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,1,TDP,B,Doubek_Whitefish_Bay_WB-LS_1_TDP_B,7.4,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,1,TDP,C,Doubek_Whitefish_Bay_WB-LS_1_TDP_C,8.57,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,9,TDP,A,Doubek_Whitefish_Bay_WB-LS_9_TDP_A,10.77,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,9,TDP,B,Doubek_Whitefish_Bay_WB-LS_9_TDP_B,6.12,ug.L,0.6,
Doubek,Whitefish_Bay_WB-LS,9,TDP,C,Doubek_Whitefish_Bay_WB-LS_9_TDP_C,5.33,ug.L,0.6,
Zastepa,WP_Waverly_Beach_Park,1,TDP,A,Zastepa_WP_Waverly_Beach_Park_1_TDP_A,11.38,ug.L,0.6,
Zastepa,WP_Waverly_Beach_Park,1,TDP,B,Zastepa_WP_Waverly_Beach_Park_1_TDP_B,10.17,ug.L,0.6,
Zastepa,WP_Waverly_Beach_Park,1,TDP,C,Zastepa_WP_Waverly_Beach_Park_1_TDP_C,8.68,ug.L,0.6,
