pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chrysochromulina_parva_Lackey_cell_L-1,29838,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chrysococcus_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chrysolykos_planktonicus_Mack_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chrysophyceae_Cyst_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Chrysophyceae_spp_cell_L-1,59676,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Dinobryon_cylindricum_Imhof_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Dinobryon_sertularia_Ehrenberg_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Dinobryon_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Epipyxis_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Mallomonas_elongata_Reverdin_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Mallomonas_sp_cell_L-1,0,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Ochromonad_sp_cell_L-1,59676,
Bullerjahn/McKay,Sandusky_Bay,0.5,phytoplankton_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_phytoplankton_abundance,Ochromonas_sp_cell_L-1,29838,
