GSM8333927 GSM8333928 GSM8333929 GSM8333930 GSM8333931 GSM8333932 GSM8333933 GSM8333934 GSM8333935 GSM8333936 GSM8333937 GSM8333938
 5.746375  5.858891  5.916047  6.144254  5.731391  5.642435  5.685233  5.731052  5.870844  5.569047  5.522131  5.509272
11.642864 11.592033 11.748455 11.768544 11.454337 11.391575 11.455727 11.341488 11.074369 10.860168 10.920258 10.862239
 4.921736  4.904249  4.937457  4.814539  4.873388  4.762277  4.755943  4.925108  4.935082  5.262672  4.909346  4.764931
10.876158 11.017179 11.145396 11.108641 11.708056 11.620741 11.570869 11.712245 13.444183 13.466118 13.442716 13.498827
 5.602797  5.604144  5.478636  5.545605  5.216202  5.193288  5.152708  5.270452  5.256609  5.508775  5.132071  5.243610
14.679044 14.683832 14.748577 14.771427 14.757264 14.725313 14.679022 14.692317 14.964989 15.018842 14.994643 15.091030
 5.325748  5.114924  5.057377  5.187503  5.263537  5.241413  5.155213  5.056438  5.193525  5.207027  5.234294  5.169207
13.605405 13.667315 13.556872 13.713343 13.623423 13.591300 13.655338 13.530132 13.208077 13.042570 13.008740 13.078450
15.293260 15.248712 15.428630 15.586322 15.808338 15.510320 15.639352 15.683941 15.415765 15.398951 15.531592 15.531592
 9.896483  9.532431  9.702127  9.543275  9.399324  9.363989  9.265490  9.168922  9.406864  9.409516  9.328588  9.365302
13.585573 13.661745 13.606742 13.734312 13.290768 13.581548 13.439310 13.354013 13.383067 13.526488 13.329935 13.343592
12.248446 12.205084 12.258325 12.263528 12.157114 12.000088 12.125977 11.916593 11.999102 11.828474 11.737136 11.705321
 4.647500  4.830056  4.839265  4.843406  4.773919  4.844483  4.814532  4.766170  4.748516  4.733482  4.972004  4.895517
 5.600951  5.600857  5.757684  5.824615  5.490868  5.505091  5.622359  5.604056  6.438494  6.280813  6.211501  6.253463
12.255156 12.134803 12.213571 12.190452 12.324531 12.111431 12.227845 11.956319 12.228182 12.118283 11.959715 12.113401
 5.240192  5.298354  5.378421  5.369097  5.393341  5.513117  5.428296  5.351758  5.300348  5.205009  5.128381  5.260300
 7.883224  7.764259  7.434031  7.334378  7.431074  7.211800  7.400624  7.335309  7.140737  7.154093  7.345325  6.976222
12.353739 12.205330 12.626687 12.407152 12.622688 12.573382 12.967487 12.913096 12.111036 11.987287 12.093990 12.199392
12.345857 12.471909 12.837925 13.079775 12.203809 12.166789 12.397750 12.386772 12.934181 12.876773 12.782640 12.688993
15.608777 15.421244 15.297993 15.395553 15.124888 15.202234 15.198222 15.191289 15.213154 15.215763 15.141136 15.128121
 9.413208  9.268338  9.290117  9.257082  9.736433  9.515483  9.514671  9.304925 10.276012 10.135634 10.114517 10.227689
16.503355 16.514011 16.455770 16.596684 16.323356 16.242430 16.324002 16.164010 16.348379 16.246852 16.165398 16.225177
 6.324767  6.540310  6.424714  6.254070  6.233446  6.218993  6.367620  6.330007  5.747949  5.787666  5.753531  5.584690
11.506054 11.422969 11.525544 11.579709 11.545374 11.360714 11.517746 11.338534 11.414368 11.206739 11.242411 11.333220
12.081271 11.884351 11.780244 11.650198 11.714476 11.733410 11.618414 11.636332 11.654149 11.819187 11.775794 11.618793
 9.456998  9.394613  9.351240  9.516876  8.890330  8.733841  8.983108  8.958605  8.866195  8.738144  8.616926  8.430992
10.691167 10.656171 10.867135 10.868080 10.932803 10.735144 10.979846 10.811279 10.709763 10.544575 10.576506 10.645918
15.212453 15.142393 15.179136 14.844626 15.184013 15.237619 15.216554 15.327244 14.921738 14.965111 15.038490 15.042712
16.290239 16.205111 16.239137 16.261369 16.146269 16.021090 16.077779 15.987119 16.471468 16.381759 16.346236 16.342021
